match_id,fecha,equipo_local,equipo_visitante,prob_local,prob_empate,prob_visitante,pct_montecarlo_local,ganador_predicho,confianza,marcador_probable,ya_jugado
91.0,2026-07-05,Brazil,Norway,0.6128710488312489,0.200503385613758,0.18662556555499304,0.77,Brazil,0.77,1-0,False
92.0,2026-07-05,Mexico,England,0.2753504907006674,0.27429697181462026,0.4503525374847124,0.3755,England,0.6245,0-1,False
93.0,2026-07-06,Portugal,Spain,0.2893517624065023,0.255704284575092,0.4549439530184057,0.3885,Spain,0.6114999999999999,0-1,False
94.0,2026-07-06,United States,Belgium,0.2885933567547111,0.2497770788687872,0.4616295643765017,0.3808,Belgium,0.6192,0-1,False
95.0,2026-07-06,Argentina,Egypt,0.684018256986256,0.22018163888034456,0.0958001041333995,0.8793,Argentina,0.8793,2-0,False
96.0,2026-07-06,Switzerland,Colombia,0.35934419529891637,0.19049569216662413,0.45016011253445953,0.44,Colombia,0.56,0-1,False
89.0,2026-07-04,Canada,Morocco,0.33778963020971636,0.237047652849939,0.4251627169403447,0.4395,Morocco,0.5605,0-2,False
90.0,2026-07-04,Paraguay,France,0.15645217067885944,0.2606172667340606,0.58293056258708,0.2188,France,0.7812,0-1,False
